type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,userid
3,1587.1618960889764,1.85699999984,7,0.9061119599458358,11,-12.322823849384957,-0.010740711291112415,0.0337637805356997,0.03863554085272731,-0.0871401965658066,16.61676205542218,63.66028531280725,208.52476398539244,-14.832373877229887,1026.619420812267,1438.1463764165314,2,899.223070234711,2231.5078395499568,7161.290332052035,-127.27272742314065,-475.0144261183465,1000.2678571091465,0,-3483.870972349639,1115.0089839046982,2393.6077341511645,7963.75766657439,0.0,3930.94501991274,30696.819423746783,85519.67857458883,-28991.74845678695,70602.59706775026,349612.17063498,925601.5906238634,-458030.6324123368,0.0939999995753,15
3,941.0795777685662,1.3569999998399997,7,0.9446328570972404,13,-8.853517615011585,-0.047366955939459277,0.11827658956975115,0.019558345101694276,-0.39852244566642026,10.093657198726095,44.63022746223972,157.07963267948966,-20.315089198624303,708.3621242187371,888.9746903033854,2,667.048541442471,1147.119838839477,3541.28441341638,0.0,-137.52143642323747,248.29496929095274,308.5106381665902,-800.0,746.5767290831559,1126.2496412549453,3551.264645802838,0.0,4387.985580120131,18346.775884327002,51497.36484666856,-17902.080003288676,374102.95484857546,1420818.0336830965,4861052.47238052,-462438.4825827482,0.2909999999599997,15
3,1714.29422604645,2.44899999956,3,0.534698637637345,22,19.959219849834945,-0.009590828967213406,0.15297897328566246,0.45185762470795,-0.4367313116825186,-3.3267170046645416,21.41583298522541,37.735516605672736,-63.5151309113273,712.7777172011143,916.6307871766036,2,-351.2419353724643,1006.3263522480054,2559.6330343329696,-2642.2018418920975,15.696714406557815,278.37222971516525,651.3761457133238,-502.67379703337167,726.2989113909152,804.8757776962932,2719.127391681595,0.0,2230.8528251175208,13167.73878699285,42448.43632649612,-14856.484996207499,175061.60764658032,1034359.1007974016,4591625.051494462,-672220.2422754306,0.09399999957999938,15
3,675.4762402019738,4.0250000003999995,5,0.13191682006925678,13,1.5812541519810608,0.010603876105105542,0.4391800709740368,1.1071487177940904,-0.8243814803132195,1.0881596549982715,19.30851711430851,60.06639627794016,-24.93327498891355,141.94222402871046,89.10667763978185,1,-61.18802403879584,593.5138712058574,1366.9724749322447,-1193.5483896635455,-67.62514558068989,617.1559512350211,504.587155176332,-2036.6972439693627,437.429022290035,720.8388627338015,2253.0174994356903,0.0,1553.286706189372,9588.340955655287,20660.62764741168,-16241.306296005954,19721.918604457725,146363.77212020775,294732.2571244973,-295215.4715473411,0.10900000017,15
3,368.4908044975348,8.455000000000002,2,0.6191742881288818,8,4.739500196636629,0.37805055430275275,0.37611616621732163,1.5707963267948966,-0.04991631422697642,-6.97698132393325,17.289019993738837,6.656712609372973,-46.36476090008061,149.17599619776874,228.16003155680005,0,-49.89249676692863,121.97367523411954,50.61983471597322,-338.3458649160473,35.93038240934117,106.66396123715701,209.7107438233176,-139.0977444654861,104.38407294433563,130.7895894185342,365.8225072643478,0.0,74.33792185313145,528.0532299238988,719.1689302213721,-738.2265561328661,301.7280957686911,2900.106967461945,6361.145710247107,-2947.231881568287,7.114000000000001,15
1,270.09003291177766,2.0120000001000022,4,0.41104077540001477,7,6.033929186203886,0.8871726826861955,1.470576761215657,3.678028111194524,-0.026832687296869974,-1.6087868009923534,17.20782438015599,16.44026049862538,-37.27157328582684,159.3435061154877,111.01801655587259,0,-117.55982697271614,395.24398922682303,339.4495409729821,-954.5454554132435,-83.11262317593717,466.2138224738728,541.2844026765335,-1009.0909100082861,352.656105960402,485.16876299848576,1389.036173435173,0.9569377990430606,623.5640441367486,5572.19616130722,7606.085921922851,-9120.314480637391,-13641.151882723585,69481.9929827427,33876.24316844508,-153453.21456160478,0.8580000000000005,15
3,39.223137384670096,1.7000000001999922,1,0.993002772988872,6,4.524353521589401,0.09193965305966738,0.10112790796278107,0.3949829542582758,-0.015634130951525573,0.5934633318140613,2.758203228690096,6.152934833338496,-1.4962963613031883,186.42478305290228,38.948684188300895,0,12.084154605509113,12.221466456929587,32.25806455081452,0.0,26.24022333380836,29.889432918491583,86.02150546883873,0.0,29.0633352915127,32.07180318233454,91.87100811295132,0.0,135.7087013318661,397.65515345738555,820.3579112521394,-251.15860752308052,979.6014656423656,4329.882615029689,7995.91788300804,-4043.4585598900553,0.29600000009999405,15
3,36.011531644219026,1.4820000004000065,0,0.7112304248198507,8,3.3633196939061945,-0.012231514792890376,0.2281952312282549,0.3141592653589793,-0.46854921646008996,4.135864694411748,12.091873260079604,32.17505543966422,-7.516832353646976,205.8370181691828,25.612496949731394,0,10.282442493791784,10.635220944125356,32.14285710841762,0.0,6.910909691777012,13.468959461738473,28.50356293859813,-10.714285702805874,17.11113963162891,10.743299086291602,33.88154632264448,0.0,20.223241749639765,65.58539815587743,141.46672687530074,-68.73771846763918,108.00311488664612,414.3778798827457,752.4825893619645,-396.8088321433444,0.6090000001999982,15
3,85.29025962055198,1.3889999999999958,1,0.22522352256587289,7,1.1436745078926474,0.1291350813416305,0.4478586066644212,0.9226837487010375,-0.18895839768899111,-32.773613148623056,85.1837552842168,17.574031917524493,-226.55346029915998,201.93267412196764,19.209372712298546,0,14.448253947601032,51.2601614724323,128.0788176078,-17.79359430605035,-5.237402400158603,109.72301956110711,152.70935945545386,-220.1834868445633,68.81240818454569,93.10276607218658,220.94669012725652,0.0,135.48715533035065,457.622157092165,981.8208781713064,-413.5416665899853,-346.01139601253686,3944.313972804647,4836.556045339722,-7186.383657437181,0.31199999989999583,15
3,88.8109991062438,2.15299999989999,7,0.8729120328948865,12,-3.847427723310836,-0.18996084207308678,0.6615609196119862,0.7853981633974483,-1.373400766945016,-7.056990649456723,43.225031764855984,46.36476090008061,-137.3400766945016,122.34890848574788,77.52418977325722,1,37.72242885168772,45.88128017392697,128.2051282873076,0.0,-12.97675477044983,39.57382060977217,69.76744198215589,-100.0,51.36080477578526,49.33905201555322,132.15082141860793,0.0,397.6708253672878,1094.0779667173485,3462.79550098117,-435.0420371549635,32057.11881650458,106070.39171488538,352859.88271863345,-8707.852801971389,0.1719999996999917,15
